,domain_rank,spam_score,comments,type,Sentiment
1,0.260328945,0,0,bias,obj 
2,0.260328945,0,0,bias,neg
3,0.260328945,0,0,bias,pos
4,0.260328945,0.068,0,bias,pos
5,0.260328945,0.865,0,bias,pos
6,0.260328945,0,0,bias,obj
7,0.260328945,0.701,0,bias,pos
8,0.260328945,0.188,0,bias ,neg
9,0.260328945,0.144,0,bias,pos
10,0.260328945,0.995,0,bias,pos
11,0.260328945,0,0,bias,pos
12,0.260328945,0.998,0,bias,pos
13,0.260328945,0,0,bias,pos
14,0.260328945,0.001,0,bias,obj
15,0.260328945,0,0,bias,obj
16,0.260328945,0,0,bias,obj
17,0.260328945,0.268,0,bias,pos
18,0.260328945,0,0,bias,neg
19,0.260328945,0,0,bias,pos
20,0.260328945,0,0,bias,pos
21,0.260328945,0.19,0,bias,pos
22,0.260328945,0,0,bias,obj
23,0.260328945,0,0,bias,pos
24,0.260328945,0,0,bias,pos
25,0.260328945,0,0,bias,obj
26,0.260328945,0,0,bias,neg
27,0.260328945,0,0,bias,pos
28,0.260328945,0.256,0,bias,neg
29,0.260328945,0,0,bias,pos
30,0.260328945,0,0,bias,pos
31,0.260328945,0,0,bias,obj
32,0.260328945,0,0,bias,obj
33,0.260328945,0,0,bias,pos
34,0.659491888,0,0,fake,pos
35,0.659491888,0.009,0,fake,pos
36,0.187810983,0,0,bs,pos
37,0.187810983,0,0,bs,pos
38,0.187810983,0,0,bs,pos
39,0.187810983,0,0,bs,pos
40,0.187810983,0,0,bs,pos
41,0.187810983,0,0,bs,pos
42,0.187810983,0,0,bs,pos
43,0.187810983,0,0,bs,neg
44,0.187810983,0,0,bs,pos
45,0.187810983,0,0,bs,pos
46,0.187810983,0,0,bs,pos
47,0.187810983,0,0,bs,pos
48,0.187810983,0,0,bs,neg
49,0.187810983,0,0,bs,pos
50,0.187810983,0,0,bs,pos
51,0.187810983,0,0,bs,neg
52,0.187810983,0,0,bs,pos
53,0.187810983,0,0,bs,pos
54,0.187810983,0,0,bs,pos
55,0.187810983,0,0,bs,pos
56,0.187810983,0,0,bs,pos
57,0.187810983,0,0,bs,pos
58,0.187810983,0,0,bs,pos
59,0.187810983,0,0,bs,pos
60,0.187810983,0,0,bs,pos
61,0.187810983,0,0,bs,pos
62,0.187810983,0,0,bs,pos
63,0.187810983,0,0,bs,pos
64,0.187810983,0,0,bs,neg
65,0.187810983,0,0,bs,neg
66,0.187810983,0,0,bs,pos
67,0.187810983,0,0,bs,pos
68,0.187810983,0,0,bs,neg
69,0.187810983,0,0,bs,pos
70,0.187810983,0,0,bs,pos
71,0.187810983,0,0,bs,pos
72,0.187810983,0,0,bs,pos
73,0.187810983,0,0,bs,pos
